MicroServie,Description,Category,Default DockImage,Popularity (Pull),Base of DockerImage,Type of Docker Content OS,LGPL 2.1.,Priority,Upstream Project,Clear Bundle,Clear Package,Use Case,Owner,Default Docker Size,Clear Docker Size,Bundle Size,Potential Clear Advantage,AUFS Relation,Created At,Filter Type,Logo Url,Operating Systems,Star Count,type,Updated_At, Tag,Is In MicroService.xlsx
nginx,Official build of Nginx.,Application Infrastructure,https://hub.docker.com/_/nginx,10M+,debian:stretch-slim,debian,the 2-clause BSD-like license,,,"web-server-basic,scm-server,pxe-server",nginx,,,109MB,,,,,2017-04-19T13:50:01.539699Z,official,https://d1q6f0aelx0por.cloudfront.net/fa443219-42e0-4886-96b4-8733de694b72-c641a5d6-1ebf-44ee-9607-aef9b4ca1a3b-logo_large.png,linux,11156,image,2019-04-01T08:04:58.509568Z,1.15.10,TRUE
ubuntu,Ubuntu is a Debian-based Linux operating system based on free software.,Base Images,https://hub.docker.com/_/ubuntu,10M+,scratch,scratch,Ubuntu 'main' and 'restricted' component licence policy,,,,,,,88.9MB,,,,,2016-06-03T16:21:27.736179Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/2ee79de2-ebfe-4b84-8eae-3c302a275b88-ubuntu.png,linux,9358,image,2019-04-01T08:05:00.66586Z,18.04,FALSE
mysql,"MySQL is a widely used, open-source relational database management system (RDBMS).",Databases,https://hub.docker.com/_/mysql,10M+,debian:stretch-slim,debian,Oracle's Privacy Policy,,,,"MySQL-python
,
jdk-mysql-connector-java
,
perl-DateTime-Format-MySQL
,
golang-github-go-sql-driver-mysql",,,477MB,,,,,2016-05-31T21:47:03.703487Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/0dd7193f-e747-4a15-b797-818b9fac3656-mysql.png,linux,7972,image,2019-04-01T08:05:07.208829Z,8.0.15,TRUE
node,Node.js is a JavaScript-based platform for server-side and networking applications.,Application Infrastructure,https://hub.docker.com/_/node,10M+,buildpack-deps:jessie,buildpack-deps,ICU License - ICU 1.8.1 to ICU 57.1,,,,"nodeenv
,
nodejs",,,904MB,,,,,2016-06-17T17:45:46.898676Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a8957077-bbcd-41cc-b6d0-2924a1492e99-node.png,linux,7224,image,2019-04-01T08:05:02.615772Z,8.15.1-jessie,FALSE
redis,Redis is an open source key-value store that functions as a data structure server.,Databases,https://hub.docker.com/_/redis,10M+,debian:stretch-slim,debian,three clause BSD license.,,,"os-testsuite-phoronix-server,os-testsuite-phoronix","redis
,
redis-native",,,95MB,,,,,2016-06-17T23:07:46.606083Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/89e5782a-76ea-4b94-a561-39e331c281a5-redis.png,linux,6701,image,2019-04-01T08:04:59.285585Z,5.0.4,TRUE
postgres,The PostgreSQL object-relational database system provides reliability and data integrity.,Databases,https://hub.docker.com/_/postgres,10M+,debian:stretch-slim,debian,"PostgreSQL License, a liberal Open Source license, similar to the BSD or MIT licenses.",,,"koji,openqa,database-basic,synergy,wireshark","postgresql
,
jdk-postgresql",,,312MB,,,,,2016-06-01T23:04:41.27079Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a28dcd12-094d-4248-bfcc-f6fb954c7ab8-postgres.png,linux,6385,image,2019-04-01T08:05:01.57909Z,11.2,FALSE
mongo,MongoDB document databases provide high availability and easy scalability.,Databases,https://hub.docker.com/_/mongo,10M+,ubuntu:xenial,ubuntu,Server Side Public License and Apache license,,,,"mongodb
,
mongodict
,
rubygem-mongoid
,
rubygem-mongo
,
rubygem-mongo_mapper",,,409MB,,,,,2016-06-17T23:29:50.117516Z,official,,windows,5732,image,2019-04-01T08:04:57.44282Z,3.4.20-jessie,FALSE
centos,The official build of CentOS.,Base Images,https://hub.docker.com/_/centos,10M+,scratch,scratch,GNU General Public License,,,,,,,202MB,,,,,2016-06-02T20:18:52.167067Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/4fae2c05-6d9d-422a-a317-f501cd0ffd3c-centos.png,linux,5277,image,2019-04-01T08:05:14.905295Z,latest,FALSE
alpine,A minimal Docker image based on Alpine Linux with a complete package index and only 5 MB in size!,Featured Images,https://hub.docker.com/_/alpine,10M+,scratch,scratch,"PHP-3.01,MIT,BSD-2-Clause,Apache2.0,BSD-2-Clause",,,,,,,5.53MB,,,,,2016-06-03T16:38:49.371406Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/2ebdc784-9c22-4b27-adb7-b56079682762-alpine.png,linux,5131,image,2019-04-01T08:05:00.081343Z,20190228,FALSE
php,"While designed for web development, the PHP scripting language also provides general-purpose use.",Programming Languages,https://hub.docker.com/_/php,10M+,debian:stretch-slim,debian,PHP License v3.01,,,,php,,,367MB,,,,,2016-06-15T21:10:59.5901Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/6e8f9c4e-df5a-4832-803f-7949fc7e199c-php.png,linux,4416,image,2019-04-01T08:05:17.653015Z,7.3.3-cli-stretch,FALSE
jenkins,Official Jenkins Docker image,DevOps Tools,https://hub.docker.com/_/jenkins,10M+,openjdk:8-jdk,openjdk,MIT License,,,,,,,696MB,,,,,2016-06-14T22:28:05.702635Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/f5326186-8ae7-425c-a78d-7192dabf75be-jenkins.png,linux,4188,image,2019-04-01T08:05:43.534715Z,latest,FALSE
python,"Python is an interpreted, interactive, object-oriented, open-source programming language.",Programming Languages,https://hub.docker.com/_/python,10M+,buildpack-deps:stretch,buildpack-deps,Python PSF LICENSE AGREEMENT,,,,"python3
,
python
,
python2-mod_wsgi
,
compat-python36
,
msgpack-python
,
python-tabulate
,
python-magic
,
python-neutronclient
,
python-saharaclient
,
python-memcached
,
python-cliapp
,
python-creole
,
python-subunit
,
python-novaclient
,
python-ceilometerclient
,
python-perf
,
python-glanceclient
,
python-systemd
,
python-pkgconfig
,
python-ttystatus
,
python-crfsuite
,
python-toml
,
python-polib
,
python-mistralclient
,
python-mock
,
python-barbicanclient
,
qpid-python
,
python-openid
,
python-mimeparse
,
python-hwinfo",,,929MB,,,,,2016-06-09T16:26:25.944324Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/6bd224a8-e827-4593-b5b4-483338e9999e-python.png,linux,4026,image,2019-04-01T08:05:15.563233Z,3.8.0a3-stretch,FALSE
elasticsearch,Elasticsearch is a powerful open source search and analytics engine that makes data easy to explore.,Application Services,https://hub.docker.com/_/elasticsearch,10M+,docker.elastic.co/elasticsearch/elasticsearch:6.7.0,elasticsearch,ELASTIC LICENSE,,,,"elasticsearch
,
elasticsearch-py
,
elasticsearch-dep",,,810 MB,,,,,2016-06-09T15:03:38.553071Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/d21622d7-2cf2-49d6-acae-a8d04a5b64a9-elasticsearch.png,linux,3531,image,2019-04-01T08:05:32.893621Z,6.7.0` (*6/Dockerfile*)](https://github.com/docker-library/elasticsearch/blob/a1a331cbea5676d959fc796d140228d38d691e3d/6/Dockerfile),FALSE
debian,Debian is a Linux distribution that's composed entirely of free and open-source software.,Base Images,https://hub.docker.com/_/debian,10M+,scratch,scratch,DFSG,,,,,,,101MB,,,,,2016-06-09T21:34:47.746115Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/4a4d002e-a9a7-4bbe-b51d-9d780daf8f41-debian.png,linux,3030,image,2019-04-01T08:05:35.445338Z,buster,FALSE
wordpress,"The WordPress rich content management system can utilize plugins, widgets, and themes.",Application Services,https://hub.docker.com/_/wordpress,10M+,php:7.1-apache,php,GNU Public License,,,,,,,421MB,,,,,2016-06-03T16:25:08.35446Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/fcbd05b8-ec7e-4191-80f6-dae8ec3d9d25-wordpress.png,linux,2890,image,2019-04-01T08:05:30.579724Z,5.1.1-php7.1-apache,FALSE
mariadb,MariaDB is a community-developed fork of MySQL intended to remain free under the GNU GPL.,Databases,https://hub.docker.com/_/mariadb,10M+,ubuntu:bionic,ubunu,"ÿGPL license, version 2.0",,,database-basic,"mariadb
,
compat-mariadb-soname18",,,368MB,,,,,2016-06-17T22:50:30.51871Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/d8cef0f8-8a8f-4d8f-8efb-e6d40560fc82-mariadb.png,linux,2669,image,2019-04-01T08:05:11.628921Z,10.4.3-bionic,TRUE
rabbitmq,RabbitMQ is an open source multi-protocol messaging broker.,Messaging Services,https://hub.docker.com/_/rabbitmq,10M+,ubuntu:18.04,ubuntu,Mozilla Public License Vesion 1.1,,,,"rabbitmq-server
,
rabbitmq-c
,
perl-Mojo-RabbitMQ-Client",,,183MB,,,,,2016-06-09T14:40:31.867702Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/d50b96ee-666d-43ce-8d91-d0cbb6f93ffb-rabbitmq.png,linux,2570,image,2019-04-01T08:05:24.319841Z,3.8.0-beta.3,TRUE
golang,"Go (golang) is a general purpose, higher-level, imperative programming language.",Programming Languages,https://hub.docker.com/_/golang,10M+,buildpack-deps:stretch-scm,buildpack-deps,BSD,,,,"golang-github-golang-lint
,
golang-github-golang-glog
,
golang-github-deckarep-golang-set
,
golang-delve
,
buildreq-golang
,
golang-github-vishvananda-netns
,
golang-github-miekg-dns
,
golang-github-tylerb-graceful
,
golang-github-gorilla-mux
,
golang-github-google-gofuzz
,
golang-github-streadway-amqp
,
golang-github-hashicorp-serf
,
golang-googlecode-go-mobile
,
golang-github-docker-libkv
,
golang-github-docker-docker
,
golang-github-mitchellh-mapstructure
,
golang-github-vishvananda-netlink
,
golang-github-naoina-toml
,
golang-googlecode-go-text
,
golang-github-godbus-dbus
,
golang-github-fzipp-gocyclo
,
golang-github-gorilla-context
,
golang-github-stretchr-testify
,
golang-github-kisielk-gotool
,
golang-github-opencontainers-runc
,
golang-github-gorilla-websocket
,
golang-googlecode-go-crypto
,
golang-googlecode-go-tools
,
golang-github-boltdb-bolt
,
golang-github-docker-libnetwork",,,774MB,,,,,2016-06-17T16:57:06.804926Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/81630ec2-d253-4eb2-b36c-eb54072cb8d6-golang.png,windows,2556,image,2019-04-01T08:05:12.361723Z,1.12.1-stretch,FALSE
registry,The Docker Registry 2.0 implementation for storing and distributing Docker images,Featured Images,https://hub.docker.com/_/registry,10M+,alpine:3.8,alpine,Apache License 2.0,,,,R-registry,,,25.8MB,,,,,2016-06-14T21:50:12.52638Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/644d2f15-c5db-4731-a353-ace6235841fa-registry.png,linux,2498,image,2019-04-01T08:05:09.600786Z,2.7.1,FALSE
httpd,The Apache HTTP Server Project,Application Infrastructure,https://hub.docker.com/_/httpd,10M+,debian:stretch-slim,debian,"APACHE LICENSE, VERSION 2.0",,,web-server-basic,"httpd
,
sphinxcontrib-httpdomain",,,132MB,,,,,2016-06-08T22:32:53.719817Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/b078c572-d43d-46e0-9fa2-8e2d31cb5ce2-httpd.png,linux,2395,image,2019-04-01T08:05:00.380781Z,2.4.38,FALSE
tomcat,Apache Tomcat is an open source implementation of the Java Servlet and JavaServer Pages technologies,Application Infrastructure,https://hub.docker.com/_/tomcat,10M+,openjdk:7-jre,openjdk,"APACHE LICENSE, VERSION 2.0",,,,,,,463MB,,,,,2016-06-15T21:32:04.054684Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/56c8514a-eb15-4cc5-8e5e-3b89e7a408fa-tomcat.png,linux,2327,image,2019-04-01T08:05:36.673524Z,7.0.93-jre7,FALSE
java,,Base Images,https://hub.docker.com/_/java,10M+,,,GPL license Version 2.0,,,,"jdk-JavaEWAH
,
perl-JavaScript-Minifier-XS
,
jdk-javacc
,
javapackages-tools
,
jdk-javassist
,
jdk-javamail
,
jdk-selenium-java
,
jdk-javacc-maven-plugin
,
jdk-chill-java
,
jdk-maven-javadoc-plugin
,
jdk-protobuf-java
,
jdk-snappy-java
,
jdk-mysql-connector-java
,
jdk-javax.ws.rs-api",,,643MB,,,,,2017-10-05T05:10:35.675141Z,official,,[],1964,image,2019-04-01T08:06:44.714411Z,,FALSE
ruby,"Ruby is a dynamic, reflective, object-oriented, general-purpose, open-source programming language.",Programming Languages,https://hub.docker.com/_/ruby,10M+,buildpack-deps:stretch,buildpack-deps,the 2-clause BSDL,,,,"ruby
,
rubygem-rubytest
,
rubygem-rubyzip
,
rubygem-rubyforge
,
rubygem-ruby-progressbar
,
rubygem-ruby-beautify
,
rubygem-rubygems-tasks
,
rubygem-bcrypt-ruby
,
rubygem-hoe-rubygems
,
rubygem-ruby-prof
,
rubygem-latest_ruby
,
rubygem-ruby-rc4
,
rubygem-rubytest-cli
,
rubygem-simplecov-sublime-ruby-coverage
,
rubygems
,
rubygem-flexmock
,
rubygem-fakeweb
,
rubygem-globalid
,
rubygem-gherkin
,
rubygem-eventmachine
,
rubygem-erubis
,
rubygem-nokogumbo
,
rubygem-rails
,
rubygem-ronn
,
rubygem-shindo
,
rubygem-slim
,
rubygem-shoulda
,
rubygem-temple
,
rubygem-timers
,
rubygem-actionpack",,,870MB,,,,,2016-06-01T23:32:29.061341Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/c21ccc13-b1e4-4523-b0af-af41f8a3bd7c-ruby.png,linux,1643,image,2019-04-01T08:05:33.438763Z,2.6.2-stretch,FALSE
openjdk,"OpenJDK is an open-source implementation of the Java Platform, Standard Edition",Programming Languages,https://hub.docker.com/_/openjdk,10M+,oraclelinux:7-slim,oraclelinux,General Public License Version 2.0,,,,"openjdk9
,
openjdk11
,
openjdk10
,
openjdk",,,470MB,,,,,2017-01-24T22:25:00.405444Z,official,https://d1q6f0aelx0por.cloudfront.net/openjdk2.png,linux,1581,image,2019-04-01T08:05:25.133104Z,13-ea-14-jdk-oraclelinux7,FALSE
busybox,Busybox base image.,Base Images,https://hub.docker.com/_/busybox,10M+,scratch,scratch,"GNU General Public License, version 2",,,,busybox,,,1.2MB,,,,,2016-06-01T23:29:38.220032Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/9e7c9993-b0d0-4f24-a12a-1fb7ef7638f0-busybox.png,linux,1542,image,2019-04-01T08:04:56.884379Z,1.30.1-uclibc,FALSE
kibana,Kibana gives shape to any kind of data ? structured and unstructured ? indexed in Elasticsearch.,,https://hub.docker.com/_/kibana,10M+,docker.elastic.co/elasticsearch/elasticsearch:6.7.0,elasticsearch,Elastic License,,,,,,,675MB,,,,,2018-09-21T18:01:06.780966Z,official,,linux,1436,image,2019-04-01T08:05:47.048945Z,6.7.0` (*6/Dockerfile*)](https://github.com/docker-library/kibana/blob/e085150e59f3a1c292e417c7adbc97fbb5cd9f1b/6/Dockerfile),TRUE
logstash,Logstash is a tool for managing events and logs.,Analytics,https://hub.docker.com/_/logstash,10M+,docker.elastic.co/elasticsearch/elasticsearch:6.7.0,elasticsearch,Elastic License,,,,,,, 776 MB,,,,,2016-06-16T21:00:03.111462Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/0ab7e1e6-e670-4d05-a8e6-82a944fbf709-logstash.png,linux,1366,image,2019-04-01T08:05:41.847704Z,6.7.0` (*6/Dockerfile*)](https://github.com/docker-library/logstash/blob/40ea47940cb4bf309f2633238ffe434192d262d0/6/Dockerfile),FALSE
memcached,"Free & open source, high-performance, distributed memory object caching system.",Storage,https://hub.docker.com/_/memcached,10M+,debian:stretch-slim,debian,BSD,,,,"memcached
,
python-memcached",,,62.2MB,,,,,2016-06-17T22:54:28.567116Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/de041504-0ddb-43f6-b89e-fe04403cca8d-memcached.png,linux,1289,image,2019-04-01T08:05:07.605371Z,1.5.12,FALSE
haproxy,"HAProxy - The Reliable, High Performance TCP/HTTP Load Balancer",Application Infrastructure,https://hub.docker.com/_/haproxy,10M+,debian:stretch-slim,debian,GNU General PublicÿLicenseÿVersion 2,,,,haproxy,,,72.1MB,,,,,2016-06-09T14:22:05.264691Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/74753c28-31a5-46fa-88c1-5336bdb2e989-haproxy.png,linux,1183,image,2019-04-01T08:05:30.047092Z,1.9.6,FALSE
sonarqube,SonarQube is an open source platform for continuous inspection of code quality.,DevOps Tools,https://hub.docker.com/_/sonarqube,10M+,openjdk:8,openjdk,GNU LESSER GENERAL PUBLIC  LICENSE  Version 3,,,,,,,875MB,,,,,2016-06-02T22:07:48.200631Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/182edbf8-40a5-4bdb-804d-58c41995645c-sonarqube.png,linux,1124,image,2019-04-01T08:05:45.254799Z,6.7.6-community,FALSE
owncloud,ownCloud is a self-hosted file sync and share server.,Storage,https://hub.docker.com/_/owncloud,10M+,php:7.2-apache,php,ÿAffero GNU PublicÿLicenseÿVersion 3ÿ,,,,,,,618MB,,,,,2016-06-15T22:02:11.477976Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/24f2a51f-4b42-4dea-98c5-6bb9603c1b4e-owncloud.png,linux,1029,image,2019-04-01T08:05:52.828281Z,10.0.10-apache,FALSE
docker,Docker in Docker!,Featured Images,https://hub.docker.com/_/docker,10M+,alpine:3.9,alpine,Apache License 2.0,,,,"docker
,
golang-github-docker-docker
,
dockerpty
,
docker-py
,
docker-upstream
,
dockerpy-creds
,
nova-docker
,
docker-pycreds
,
docker-compose
,
golang-github-docker-distribution
,
golang-github-docker-libnetwork
,
clear-containers-docker
,
golang-github-docker-libkv
,
golang-github-docker-go-units
,
golang-github-docker-go-connections
,
golang-github-docker-engine-api",,,171MB,,,,,2016-06-17T23:09:16.794162Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/75765bad-5683-40e7-b4cb-cdd4f7cc9b9e-docker.png,linux,1019,image,2019-04-01T08:05:09.881999Z,18.09.4,FALSE
swarm,Swarm: a Docker-native clustering system.,Application Infrastructure,https://hub.docker.com/_/swarm,10M+,scratch,scratch,Apache License 2.0,,,,,,,12.7MB,,,,,2016-06-15T01:38:24.420269Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/3a29d766-ea80-400c-b981-7f6c02d36fd8-swarm.png,linux,970,image,2019-04-01T08:05:45.550329Z,1.2.9,FALSE
ghost,Ghost is a free and open source blogging platform written in JavaScript,Application Services,https://hub.docker.com/_/ghost,10M+,node:10-slim,node,MIT License,,,,ghostscript,,,555MB,,,,,2016-06-17T17:40:52.086415Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/4b220cf1-eb6f-4843-8c95-c135e9d8dd7d-ghost.png,linux,947,image,2019-04-01T08:05:43.839782Z,2.19.1,FALSE
cassandra,Apache Cassandra is an open-source distributed storage system.,Databases,https://hub.docker.com/_/cassandra,10M+,debian:stretch-slim,debian,Apache License 2.0,,,,,,,323MB,,,,,2016-06-16T19:29:42.643562Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/7b4c1bb0-6912-43d4-898f-79d485173c55-cassandra.png,linux,947,image,2019-04-01T08:05:47.408121Z,2.1.21,FALSE
nextcloud,A safe home for all your data,Application Frameworks,https://hub.docker.com/_/nextcloud,10M+,php:7.2-apache-stretch,php," AGPL XML/RPC:,MIT,GPL v3+",,,,,,,598MB,,,,,2017-04-16T17:55:07.611702Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/nextcloud.png,linux,895,image,2019-04-01T08:05:38.852327Z,13.0.12-apache,FALSE
hello-world,,,https://hub.docker.com/_/hello-world,10M+,,,MIT License,,,,,,,1.84kB,,,,,2016-06-17T22:51:49.820736Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/5431a80b-9ab9-486c-906a-e3d4b5ccaa96-hello-world.png,linux,870,image,2019-04-01T08:06:42.855678Z,,FALSE
consul,"Consul is a datacenter runtime that provides service discovery, configuration, and orchestration.",Application Infrastructure,https://hub.docker.com/_/consul,10M+,alpine:3.7,alpine,"Mozilla Public License, version 2.0",,,,,,,107MB,,,,,2016-06-01T00:00:06.374247Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/consul.svg,linux,870,image,2019-04-01T08:05:15.158433Z,1.4.4,FALSE
traefik,"Traefik, The Cloud Native Edge Router",Application Infrastructure,https://hub.docker.com/_/traefik,10M+,scratch,scratch,MIT License,,,,,,,70.2MB,,,,,2016-06-09T22:15:04.710148Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/fc7881bf-43a8-45dc-b3da-c4c4a8f29494-traefik.png,linux,839,image,2019-04-01T08:05:08.432566Z,v2.0.0-alpha3,FALSE
maven,Apache Maven is a software project management and comprehension tool.,DevOps Tools,https://hub.docker.com/_/maven,10M+,openjdk:11-jdk-slim,openjdk,"APACHE LICENSE, VERSION 2.0",,,,"apache-maven2
,
apache-maven
,
maven-dep
,
jdk-maven-verifier
,
jdk-maven-invoker-plugin
,
jdk-maven-assembly-plugin
,
jdk-maven-shared-io
,
jdk-maven-bundle-plugin
,
jdk-maven-parent
,
jdk-maven-filtering
,
jdk-maven-scm
,
jdk-maven-artifact-transfer
,
jdk-maven-plugins
,
jdk-maven-shared-utils
,
jdk-maven-compiler-plugin
,
jdk-maven-shared-components
,
jdk-maven-script-interpreter
,
jdk-maven-shared-incremental
,
jdk-maven-javadoc-plugin
,
jdk-maven-reporting-exec
,
jdk-maven-antrun-plugin
,
jdk-scalatest-maven-plugin
,
jdk-maven-archiver
,
jdk-scalastyle-maven-plugin
,
jdk-maven-artifact-resolver
,
jdk-maven-jar-plugin
,
jdk-maven-install-plugin
,
jdk-buildnumber-maven-plugin
,
jdk-maven-dependency-analyzer
,
jdk-maven-resources-plugin",,,831MB,,,,,2016-06-01T23:30:59.247133Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/b14d466e-356f-4b00-bc4e-af5e8284a1bd-maven.png,linux,830,image,2019-04-01T08:05:41.128487Z,3.6.0-jdk-11-slim,FALSE
django,"Django is a free web application framework, written in Python.",,https://hub.docker.com/_/django,10M+,python:3.4-slim,python,BSD,,,,"Django
,
django-babel
,
django-nose
,
django-pyscss
,
django_compressor
,
django-appconf
,
django_openstack_auth
,
django-discover-runner",,,436MB,,,,,2018-09-21T18:02:01.182713Z,official,,linux,805,image,2019-04-01T08:06:07.120153Z,1.10.4-python3,FALSE
fedora,Official Docker builds of Fedora,Base Images,https://hub.docker.com/_/fedora,10M+,scratch,scratch,GNU General Public License ,,,,,,,275MB,,,,,2016-06-13T16:36:50.685766Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/9dd6e1eb-07b5-4b36-951e-4c311d330013-fedora.png,linux,780,image,2019-04-01T08:05:51.943224Z,29` (*x86_64//Dockerfile*),FALSE
influxdb,"InfluxDB is an open source time series database for recording metrics, events, and analytics.",Databases,https://hub.docker.com/_/influxdb,10M+,buildpack-deps:stretch-curl,buildpack-deps,MIT License,,,,influxdb,,,239MB,,,,,2016-06-09T22:58:22.07804Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/867a4269-0838-456b-9db8-1ab1465f9706-influxdb.png,linux,724,image,2019-04-01T08:05:34.849345Z,1.5,TRUE
redmine,Redmine is a flexible project management web application written using Ruby on Rails framework,Application Services,https://hub.docker.com/_/redmine,10M+,ruby:2.6-slim-stretch,ruby,GNU General Public License v2 .0,,,,,,,574MB,,,,,2016-06-01T23:32:36.12041Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/92de5ad2-abdf-4f93-928f-a29d422e36b1-redmine.png,linux,715,image,2019-04-01T08:06:04.826909Z,4.0.2,FALSE
